symbol,open,close,high,low,volume,changePercent,date,companyName,sector
APH,52.485,52.88,52.945,52.02,2362874,0.0056,2020-07-31,Amphenol Corp.,Manufacturing
APH,52.98,53.695,53.87,52.98,2219096,0.0154,2020-08-03,Amphenol Corp.,Manufacturing
APH,53.565,54.21,54.27,53.5,2202090,0.0096,2020-08-04,Amphenol Corp.,Manufacturing
APH,54.365,54.325,54.75,54.045,1618322,0.0021,2020-08-05,Amphenol Corp.,Manufacturing
APH,54.09,54.175,54.415,53.935,1550246,-0.0028,2020-08-06,Amphenol Corp.,Manufacturing
APH,53.985,53.98,54.22,53.57,2178732,-0.0036,2020-08-07,Amphenol Corp.,Manufacturing
APH,53.845,54.06,54.47,53.805,4535814,0.0015,2020-08-10,Amphenol Corp.,Manufacturing
APH,54.355,54.405,55.0,54.28,3328002,0.0064,2020-08-11,Amphenol Corp.,Manufacturing
APH,54.63,54.895,55.1875,54.2201,2711162,0.009,2020-08-12,Amphenol Corp.,Manufacturing
APH,54.675,55.285,55.7,54.405,2069890,0.0071,2020-08-13,Amphenol Corp.,Manufacturing
APH,55.035,54.89,55.15,54.72,1594394,-0.0071,2020-08-14,Amphenol Corp.,Manufacturing
APH,55.095,54.945,55.395,54.9,1677792,0.001,2020-08-17,Amphenol Corp.,Manufacturing
APH,54.83,54.575,54.93,54.505,1664366,-0.0067,2020-08-18,Amphenol Corp.,Manufacturing
APH,54.75,54.57,54.98,54.46,1169272,-0.0001,2020-08-19,Amphenol Corp.,Manufacturing
